Título;Ubicación;Valor Alquiler;Expensas;Metros Cuadrados;Ambientes;Dormitorios;Baños;Cocheras;Moneda;Barrio;Valor Alquiler(normalizado);Expensas Predichas;Id;Barrio Ubicación;Lat;Lon
Bartolomé Mitre al 2200;Balvanera, Capital Federal;430000;186500;40;1;0;1;1;ARS;Balvanera;430000;0;1;Balvanera, Capital Federal, Buenos Aires, Argentina;-34.60841690;-58.39763090
Av. Alvear al 1300;Recoleta, Capital Federal;6400;868505;400;5;3;3;2;USD;Recoleta;7936000;1;2;Recoleta, Capital Federal, Buenos Aires, Argentina;-34.59161540;-58.38326000
Presidente Julio A. Roca al 700;Centro / Microcentro, Capital Federal;430000;252000;46;1;0;1;1;ARS;Centro / Microcentro;430000;0;3;Centro / Microcentro, Capital Federal, Buenos Aires, Argentina;-34.61142780;-58.37584730
Scalabrini Ortiz  al 1600;Palermo, Capital Federal;2450000;236000;102;4;3;2;0;ARS;Palermo;2450000;0;4;Palermo, Capital Federal, Buenos Aires, Argentina;-34.59087470;-58.42513930
Juncal al 800;Retiro, Capital Federal;1100;521726;142;6;3;3;0;USD;Retiro;1364000;0;5;Retiro, Capital Federal, Buenos Aires, Argentina;-34.59295720;-58.37847920
Parera al 100;Recoleta, Capital Federal;3000;1000000;282;7;4;2;1;USD;Recoleta;3720000;0;6;Recoleta, Capital Federal, Buenos Aires, Argentina;-34.59151560;-58.38616780
Alcorta 3200;Palermo Chico, Palermo;10000;95000;271;4;3;4;1;USD;Palermo;12400000;0;7;Palermo, Capital Federal, Buenos Aires, Argentina;-34.64995360;-58.40477950
Costa Rica  al 4100;Palermo, Capital Federal;750;96047;35;1;0;1;0;USD;Palermo;930000;1;8;Palermo, Capital Federal, Buenos Aires, Argentina;-34.58212170;-58.43533390
Doblas e/ Zuviría y Avenida Directorio;Caballito, Capital Federal;570;128000;32;1;0;1;0;USD;Caballito;706800;0;9;Caballito, Capital Federal, Buenos Aires, Argentina;;
Salguero  al 1300;Palermo, Capital Federal;850000;263000;59;3;2;1;0;ARS;Palermo;850000;0;10;Palermo, Capital Federal, Buenos Aires, Argentina;-34.57093470;-58.39531480
Diagonal Pte. Julio A. Roca  al 700;Centro / Microcentro, Capital Federal;450000;157126;35;1;0;1;0;ARS;Centro / Microcentro;450000;0;11;Centro / Microcentro, Capital Federal, Buenos Aires, Argentina;;
Av. Cabildo 300;Palermo, Capital Federal;1000000;250000;62;3;2;1;0;ARS;Palermo;1000000;0;12;Palermo, Capital Federal, Buenos Aires, Argentina;-34.57287280;-58.43965390
Santa Fe  5300 13°;Palermo, Capital Federal;950;180000;52;2;1;1;0;USD;Palermo;1178000;0;13;Palermo, Capital Federal, Buenos Aires, Argentina;;
Torre Nic - Baez al 600.;Las Cañitas, Palermo;450;150000;35;1;1;1;0;USD;Palermo;558000;0;14;Palermo, Capital Federal, Buenos Aires, Argentina;;
Distrito Quartier.;Retiro, Capital Federal;600;220000;51;2;1;1;0;USD;Retiro;744000;0;15;Retiro, Capital Federal, Buenos Aires, Argentina;;
